,TEAM,Name,Number,POS,Age,HT_in,WT_lb,College,Salary
0,UTAH,Ochai Agbaji,30,G,22,77,215,Kansas,"$3,918,360"
1,UTAH,Udoka Azubuike,20,C,23,83,270,Kansas,"$2,174,880"
2,UTAH,Leandro Bolmaro,10,F,22,78,200,--,"$2,353,320"
3,UTAH,Jordan Clarkson,00,PG,30,77,194,Missouri,"$13,340,000"
4,UTAH,Simone Fontecchio,16,F,27,79,209,--,"$3,205,128"
5,UTAH,Rudy Gay,22,SF,36,80,250,Connecticut,"$6,184,500"
6,UTAH,Talen Horton-Tucker,0,SG,22,76,234,Iowa State,"$10,260,000"
7,UTAH,Damian Jones,30,C,27,83,245,Vanderbilt,"$2,298,385"
8,UTAH,Johnny Juzang,33,G,21,78,209,UCLA,--
9,UTAH,Walker Kessler,24,C,21,84,245,Auburn,"$2,696,400"
10,UTAH,Lauri Markkanen,23,PF,25,84,240,Arizona,"$16,475,454"
11,UTAH,Kelly Olynyk,41,PF,31,83,240,Gonzaga,"$12,195,122"
12,UTAH,Micah Potter,25,C,24,80,248,Wisconsin,--
13,UTAH,Collin Sexton,2,PG,24,74,190,Alabama,"$16,500,000"
14,UTAH,Juan Toscano-Anderson,95,SF,29,78,209,Marquette,"$1,836,090"
15,UTAH,Russell Westbrook,0,PG,34,75,200,UCLA,"$47,063,478"
16,SAC,Harrison Barnes,40,SF,30,80,225,North Carolina,"$18,352,273"
17,SAC,Terence Davis,3,SG,25,76,201,Ole Miss,"$4,000,000"
18,SAC,Matthew Dellavedova,8,PG,32,75,200,Saint Mary's,"$1,836,090"
19,SAC,PJ Dozier,35,G,26,78,205,South Carolina,"$1,910,860"
20,SAC,,,SF,22,79,203,Pepperdine,"$1,637,966"
21,SAC,Keon Ellis,23,G,23,75,175,Alabama,--
22,SAC,De'Aaron Fox,5,PG,25,75,185,Kentucky,"$28,103,550"
23,SAC,Richaun Holmes,22,F,29,81,235,Bowling Green,"$11,215,260"
24,SAC,Kevin Huerter,9,SG,24,79,198,Maryland,"$14,508,929"
25,SAC,Alex Len,25,C,29,85,250,Maryland,"$3,918,000"
26,SAC,Trey Lyles,41,PF,27,81,234,Kentucky,"$2,700,000"
27,SAC,Chimezie Metu,7,PF,25,81,225,USC,"$1,910,680"
28,SAC,Davion Mitchell,15,PG,24,72,202,Baylor,"$4,833,600"
29,SAC,Malik Monk,0,SG,25,75,200,Kentucky,"$9,472,219"
30,SAC,Keegan Murray,13,SF,22,80,215,Iowa,"$8,008,440"
31,SAC,KZ Okpala,31,SF,23,80,215,Stanford,"$1,782,621"
32,SAC,Neemias Queta,88,C,23,84,248,Utah State,--
33,SAC,Domantas Sabonis,10,PF,26,84,240,Gonzaga,"$18,500,000"
34,WAS,Deni Avdija,9,SF,22,81,210,--,"$4,916,160"
35,WAS,Will Barton,5,SF,32,77,181,Memphis,"$14,375,000"
36,WAS,Bradley Beal,3,SG,29,76,207,Florida,"$43,279,250"
37,WAS,Vernon Carey Jr.,13,C,21,82,270,Duke,"$1,782,621"
38,WAS,Johnny Davis,1,G,20,76,195,Wisconsin,"$4,810,320"
39,WAS,Daniel Gafford,21,C,24,82,234,Arkansas,"$1,930,681"
40,WAS,Taj Gibson,67,F,37,81,232,USC,"$1,836,090"
41,WAS,Anthony Gill,16,PF,30,80,230,Virginia,"$1,836,090"
42,WAS,Jordan Goodwin,7,G,24,75,200,Saint Louis,--
43,WAS,Quenton Jackson,29,G,24,77,173,Texas A&M,--
44,WAS,Corey Kispert,24,SF,23,78,224,Gonzaga,"$3,552,960"
45,WAS,Kyle Kuzma,33,SF,27,81,221,Utah,"$13,000,000"
46,WAS,Monte Morris,22,PG,27,74,183,Iowa State,"$9,125,000"
47,WAS,Kendrick Nunn,12,G,27,75,190,Oakland,"$5,250,000"
